_id,vocabulary,type,pronunciation,meaning,__v
6669ab7fdeb9c3c8f02d44e5,ingredient,n,/ɪnˈɡriːdiənt/,nguyên liệu,0
6669ab7fdeb9c3c8f02d44e6,recipe,n,/ˈresəpi/,công thức nấu ăn,0
6669ab7fdeb9c3c8f02d44e7,cooking oil,n,/ˈkʊkɪŋ ɔɪl/,dầu ăn,0
6669ab7fdeb9c3c8f02d44e8,salt,n,/sɔːlt/,muối,0
6669ab7fdeb9c3c8f02d44e9,sugar,n,/ˈʃʊɡər/,đường,0
6669ab7fdeb9c3c8f02d44ea,vinegar,n,/ˈvɪnɪɡər/,dấm,0
6669ab7fdeb9c3c8f02d44eb,chili sauce,n,/ˈtʃɪli sɔːs/,tương ớt,0
6669ab7fdeb9c3c8f02d44ec,ketchup,n,/ˈketʃəp/,tương cà chua,0
6669ab7fdeb9c3c8f02d44ed,raw,adj,/rɑː/,sống,0
6669ab7fdeb9c3c8f02d44ee,wash,v,/wɑːʃ/,rửa,0
6669ab7fdeb9c3c8f02d44ef,peel,v,/piːl/,bóc vỏ,0
6669ab7fdeb9c3c8f02d44f0,chop,v,/tʃɑːp/,"chặt, bổ",0
6669ab7fdeb9c3c8f02d44f1,chunk,"v, n",/tʃʌŋk/,"cắt khúc, khúc",0
6669ab7fdeb9c3c8f02d44f2,fillet,v,/ˈfɪl.ɪt/,"róc xương, lạng thịt",0
6669ab7fdeb9c3c8f02d44f3,slice,v,/slaɪs/,thái,0
6669ab7fdeb9c3c8f02d44f4,dice,v,/daɪs/,thái hạt lựu,0
6669ab7fdeb9c3c8f02d44f5,mince,v,/mɪns/,"băm, xay",0
6669ab7fdeb9c3c8f02d44f6,mash,v,/mæʃ/,"nghiền, làm nát",0
6669ab7fdeb9c3c8f02d44f7,blend,v,/blend/,trộn,0
6669ab7fdeb9c3c8f02d44f8,boil,v,/bɔɪl/,"đun sôi, luộc",0
6669ab7fdeb9c3c8f02d44f9,steam,v,/stiːm/,hấp,0
6669ab7fdeb9c3c8f02d44fa,stew,v,/stuː/,"hầm, ninh nhừ",0
6669ab7fdeb9c3c8f02d44fb,blanch,v,/blæntʃ/,chần thức ăn,0
6669ab7fdeb9c3c8f02d44fc,stir,v,/stɝː/,"xào, quấy",0
6669ab7fdeb9c3c8f02d44fd,fry,v,/fraɪ/,rán,0
6669ab7fdeb9c3c8f02d44fe,bake,v,/beɪk/,nướng (bánh),0
6669ab7fdeb9c3c8f02d44ff,roast,v,/roʊst/,"quay, nướng",0
6669ab7fdeb9c3c8f02d4500,grill,v,/ɡrɪl/,nướng,0
6669ab7fdeb9c3c8f02d4501,steep,v,/stiːp/,ngâm,0
6669ab7fdeb9c3c8f02d4502,dip,v,/dɪp/,nhúng,0
6669ab7fdeb9c3c8f02d4503,brew,v,/bruː/,"ủ (trà, rượu…)",0
6669ab7fdeb9c3c8f02d4504,ferment,v,/fɚˈment/,lên men,0
6669ab7fdeb9c3c8f02d4505,chill,v,/tʃɪl/,"làm tan giá, rã đông",0
6669ab7fdeb9c3c8f02d4506,cool,v,/kuːl/,để nguội,0
6669ab7fdeb9c3c8f02d4507,melt,v,/melt/,làm tan chảy,0
6669ab7fdeb9c3c8f02d4508,flavor,v,/ˈfleɪ.vɚ/,tẩm gia vị,0
6669ab7fdeb9c3c8f02d4509,marinate,v,/ˈmer.ə.neɪt/,ướp,0
6669ab7fdeb9c3c8f02d450a,salt,v,/sɑːlt/,"ướp gia vị, rắc muối",0
6669ab7fdeb9c3c8f02d450b,garnish,v,/ˈɡɑːr.nɪʃ/,"trang trí, bày biện",0
6669ab7fdeb9c3c8f02d450c,press,v,/pres/,"ấn, ép",0
6669ab7fdeb9c3c8f02d450d,refrigerate,v,/rɪˈfrɪdʒ.ə.reɪt/,ướp lạnh,0
6669ab7fdeb9c3c8f02d450e,roll,v,/roʊl/,cuộn,0
